[04/Nov/2015 14:56:38] ERROR	- forum.views:27	: Pas de profile
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Vos devoirs pour chaque post
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-10-29 09:49:10.779203+00:00
[04/Nov/2015 15:16:19] ERROR	- forum.forum:40	: 2015-11-04 14:16:10.482186+00:00
[04/Nov/2015 15:16:19] INFO	- forum.forum:41	: -534419.702983
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Vos devoirs pour chaque post
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-10-29 09:49:10.891203+00:00
[04/Nov/2015 15:16:19] ERROR	- forum.forum:40	: 2015-11-04 14:16:10.482186+00:00
[04/Nov/2015 15:16:19] INFO	- forum.forum:41	: -534419.590983
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Vos devoirs pour chaque post
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-10-29 09:49:11.025203+00:00
[04/Nov/2015 15:16:19] ERROR	- forum.forum:40	: 2015-11-04 14:16:10.482186+00:00
[04/Nov/2015 15:16:19] INFO	- forum.forum:41	: -534419.456983
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Vos devoirs pour chaque post
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-10-29 09:49:11.166203+00:00
[04/Nov/2015 15:16:19] ERROR	- forum.forum:40	: 2015-11-04 14:16:10.482186+00:00
[04/Nov/2015 15:16:19] INFO	- forum.forum:41	: -534419.315983
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Seul sur Mars (Ridley Scott)
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-11-04 10:05:30.683220+00:00
[04/Nov/2015 15:16:19] ERROR	- forum.forum:40	: 2015-11-04 14:16:10.482186+00:00
[04/Nov/2015 15:16:19] INFO	- forum.forum:41	: -15039.798966
[04/Nov/2015 15:16:19] INFO	- forum.forum:38	: Seul sur Mars (Ridley Scott)
[04/Nov/2015 15:16:19] DEBUG	- forum.forum:39	: 2015-11-04 13:26:43.285193+00:00
